Time,RSF_percent_full,CMS_percent_full
2025-08-28 18:48:48,100%,91%
2025-08-28 18:57:29,100%,86%
2025-08-28 19:11:18,99%,71%
2025-08-28 19:23:29,100%,75%
2025-08-28 19:29:33,97%,66%
2025-08-28 19:43:14,100%,64%
2025-08-28 19:49:39,99%,59%
2025-08-28 19:55:56,100%,59%
2025-08-28 20:11:54,98%,60%
2025-08-28 20:30:35,93%,73%
2025-08-28 20:48:00,91%,73%
2025-08-28 20:54:07,95%,62%
2025-08-28 21:00:05,95%,62%
2025-08-28 21:17:32,98%,62%
2025-08-28 21:29:53,100%,68%
2025-08-28 21:37:31,102%,77%
2025-08-28 21:43:50,99%,71%
2025-08-28 21:49:58,98%,75%
2025-08-28 21:55:55,99%,68%
2025-08-28 22:09:50,100%,68%
2025-08-28 22:29:21,101%,82%
2025-08-28 22:39:45,100%,90%
2025-08-28 22:46:02,100%,93%
2025-08-28 22:58:38,99%,100%
2025-08-28 23:35:54,100%,84%
2025-08-28 23:42:17,101%,82%
2025-08-28 23:48:36,100%,88%
2025-08-28 23:54:45,100%,84%
2025-08-29 00:38:34,99%,82%
2025-08-29 02:15:07,99%,88%
2025-08-29 03:10:31,100%,26%
2025-08-29 03:40:17,101%,26%
2025-08-29 03:52:53,101%,26%
2025-08-29 03:58:50,102%,26%
2025-08-29 04:20:29,102%,26%
2025-08-29 04:38:56,104%,26%
2025-08-29 04:48:15,105%,26%
2025-08-29 04:54:35,102%,26%
2025-08-29 05:00:25,102%,26%
2025-08-29 05:19:37,97%,26%
2025-08-29 05:33:47,82%,26%
2025-08-29 05:43:32,66%,26%
2025-08-29 05:49:59,56%,26%
2025-08-29 05:56:09,52%,26%
2025-08-29 06:17:15,37%,26%
2025-08-29 06:43:55,37%,26%
2025-08-29 06:54:01,37%,26%
2025-08-29 06:59:51,37%,26%
2025-08-29 07:30:47,37%,26%
2025-08-29 07:39:35,37%,26%
2025-08-29 07:45:32,37%,26%
2025-08-29 07:51:52,37%,26%
2025-08-29 07:57:57,37%,26%
2025-08-29 11:23:42,>0%,>0%
2025-08-29 13:24:29,>2%,>2%
2025-08-29 13:40:52,>2%,>2%
2025-08-29 13:48:21,>3%,>2%
2025-08-29 14:00:57,>6%,>2%
2025-08-29 14:20:15,65%,>2%
2025-08-29 14:36:17,84%,>2%
2025-08-29 14:45:56,90%,>2%
